hr,holiday,workingday,humidity_percentage,windspeed,temperature_celsius,feels_like_temperature_celsius,bike_riders,date,day,month,dayofweek,datetimestamp,fall,spring,summer,winter,clear,heavy_rain_snow,light_rain_snow,mist_cloudy,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,August,December,February,January,July,June,March,May,November,October,September
9,0,1,0.75,20,3.28,-2.0014,137,2011-02-24 00:00:00,24,2,3,2011-02-24 09:00:00,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,1,0.7,19,4.22,-0.0016,57,2011-02-24 00:00:00,24,2,3,2011-02-24 10:00:00,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,1,0.57,26,7.04,3.0014,79,2011-02-24 00:00:00,24,2,3,2011-02-24 11:00:00,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0,1,0.53,24,8.92,5.9978,95,2011-02-24 00:00:00,24,2,3,2011-02-24 12:00:00,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,0,1,0.54,20,9.86,9.9974,88,2011-02-24 00:00:00,24,2,3,2011-02-24 13:00:00,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0,1,0.5,20,10.8,11.0006,69,2011-02-24 00:00:00,24,2,3,2011-02-24 14:00:00,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0,1,0.54,26,10.8,11.0006,63,2011-02-24 00:00:00,24,2,3,2011-02-24 15:00:00,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,0,1,0.62,19,9.86,9.9974,71,2011-02-24 00:00:00,24,2,3,2011-02-24 16:00:00,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0,1,0.66,13,8.92,7.001,177,2011-02-24 00:00:00,24,2,3,2011-02-24 17:00:00,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,1,0.87,22,7.98,3.998,137,2011-02-24 00:00:00,24,2,3,2011-02-24 18:00:00,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0,1,0.93,20,7.98,3.998,115,2011-02-24 00:00:00,24,2,3,2011-02-24 19:00:00,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,0,1,0.93,24,7.98,3.998,89,2011-02-24 00:00:00,24,2,3,2011-02-24 20:00:00,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,0,1,0.87,22,7.98,3.998,83,2011-02-24 00:00:00,24,2,3,2011-02-24 21:00:00,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,0,1,0.87,19,7.98,5.0012,55,2011-02-24 00:00:00,24,2,3,2011-02-24 22:00:00,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,0,1,0.93,15,7.04,3.998,50,2011-02-24 00:00:00,24,2,3,2011-02-24 23:00:00,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0.93,0,7.04,7.001,9,2011-02-25 00:00:00,25,2,4,2011-02-25 00:00:00,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,1,1.0,0,7.04,7.001,10,2011-02-25 00:00:00,25,2,4,2011-02-25 01:00:00,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,1,1.0,0,7.04,7.001,3,2011-02-25 00:00:00,25,2,4,2011-02-25 02:00:00,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,1,0.93,7,7.04,5.9978,2,2011-02-25 00:00:00,25,2,4,2011-02-25 03:00:00,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,1,0.93,7,7.04,5.9978,6,2011-02-25 00:00:00,25,2,4,2011-02-25 05:00:00,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,1,0.93,6,7.98,7.001,11,2011-02-25 00:00:00,25,2,4,2011-02-25 06:00:00,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,1,1.0,9,7.98,5.9978,35,2011-02-25 00:00:00,25,2,4,2011-02-25 07:00:00,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,1,0.93,9,8.92,7.001,73,2011-02-25 00:00:00,25,2,4,2011-02-25 08:00:00,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,1,0.93,24,7.98,3.998,114,2011-02-25 00:00:00,25,2,4,2011-02-25 09:00:00,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,1,0.94,22,11.74,11.9972,49,2011-02-25 00:00:00,25,2,4,2011-02-25 10:00:00,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,1,0.77,30,16.44,17.0,59,2011-02-25 00:00:00,25,2,4,2011-02-25 11:00:00,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0,1,0.6,31,17.38,18.0032,115,2011-02-25 00:00:00,25,2,4,2011-02-25 12:00:00,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,0,1,0.6,31,17.38,18.0032,83,2011-02-25 00:00:00,25,2,4,2011-02-25 13:00:00,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0,1,0.56,41,18.32,18.9998,85,2011-02-25 00:00:00,25,2,4,2011-02-25 14:00:00,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0,1,0.41,54,13.62,13.997,55,2011-02-25 00:00:00,25,2,4,2011-02-25 15:00:00,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,0,1,0.49,31,7.04,3.0014,102,2011-02-25 00:00:00,25,2,4,2011-02-25 16:00:00,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0,1,0.49,50,7.04,1.9982,189,2011-02-25 00:00:00,25,2,4,2011-02-25 17:00:00,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,1,0.49,33,7.04,3.0014,157,2011-02-25 00:00:00,25,2,4,2011-02-25 18:00:00,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0,1,0.52,30,6.1,1.9982,90,2011-02-25 00:00:00,25,2,4,2011-02-25 19:00:00,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,0,1,0.49,41,6.1,1.0016,62,2011-02-25 00:00:00,25,2,4,2011-02-25 20:00:00,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,0,1,0.48,26,5.16,1.0016,63,2011-02-25 00:00:00,25,2,4,2011-02-25 21:00:00,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,0,1,0.48,30,4.22,-2.0014,50,2011-02-25 00:00:00,25,2,4,2011-02-25 22:00:00,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,0,1,0.48,22,4.22,-0.9982,39,2011-02-25 00:00:00,25,2,4,2011-02-25 23:00:00,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0.52,13,3.28,-0.9982,28,2011-02-26 00:00:00,26,2,5,2011-02-26 00:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0.52,20,3.28,-2.0014,27,2011-02-26 00:00:00,26,2,5,2011-02-26 01:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,0,0.6,24,2.34,-2.998,12,2011-02-26 00:00:00,26,2,5,2011-02-26 02:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,0,0.55,9,2.34,-0.9982,8,2011-02-26 00:00:00,26,2,5,2011-02-26 03:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,0.6,6,2.34,1.0016,2,2011-02-26 00:00:00,26,2,5,2011-02-26 04:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,0,0.64,7,2.34,-0.0016,10,2011-02-26 00:00:00,26,2,5,2011-02-26 05:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0.6,0,2.34,1.9982,7,2011-02-26 00:00:00,26,2,5,2011-02-26 06:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0.6,6,2.34,1.0016,22,2011-02-26 00:00:00,26,2,5,2011-02-26 07:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0.6,0,3.28,3.0014,57,2011-02-26 00:00:00,26,2,5,2011-02-26 08:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0.56,11,4.22,1.0016,74,2011-02-26 00:00:00,26,2,5,2011-02-26 09:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,0.49,9,6.1,3.998,85,2011-02-26 00:00:00,26,2,5,2011-02-26 10:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0.45,0,6.1,5.9978,126,2011-02-26 00:00:00,26,2,5,2011-02-26 11:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0,0,0.45,11,7.04,5.0012,160,2011-02-26 00:00:00,26,2,5,2011-02-26 12:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,0,0,0.42,17,7.98,5.0012,174,2011-02-26 00:00:00,26,2,5,2011-02-26 13:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0,0,0.36,22,7.98,3.998,211,2011-02-26 00:00:00,26,2,5,2011-02-26 14:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0,0,0.4,19,8.92,5.9978,165,2011-02-26 00:00:00,26,2,5,2011-02-26 15:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,0,0,0.46,19,8.92,5.9978,171,2011-02-26 00:00:00,26,2,5,2011-02-26 16:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0,0,0.43,15,8.92,7.001,183,2011-02-26 00:00:00,26,2,5,2011-02-26 17:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,0,0.46,13,7.98,5.9978,137,2011-02-26 00:00:00,26,2,5,2011-02-26 18:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0,0,0.49,17,7.04,3.998,94,2011-02-26 00:00:00,26,2,5,2011-02-26 19:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,0,0,0.56,11,6.1,3.998,68,2011-02-26 00:00:00,26,2,5,2011-02-26 20:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,0,0,0.65,17,5.16,1.9982,68,2011-02-26 00:00:00,26,2,5,2011-02-26 21:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,0,0,0.75,15,5.16,1.9982,46,2011-02-26 00:00:00,26,2,5,2011-02-26 22:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,0,0,0.75,19,5.16,1.0016,34,2011-02-26 00:00:00,26,2,5,2011-02-26 23:00:00,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0.87,19,4.22,-0.0016,34,2011-02-27 00:00:00,27,2,6,2011-02-27 00:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0.87,13,4.22,1.0016,37,2011-02-27 00:00:00,27,2,6,2011-02-27 01:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,0,0.87,9,4.22,1.9982,22,2011-02-27 00:00:00,27,2,6,2011-02-27 02:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,0,0.87,6,4.22,3.0014,11,2011-02-27 00:00:00,27,2,6,2011-02-27 03:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,0.87,9,3.28,-0.0016,2,2011-02-27 00:00:00,27,2,6,2011-02-27 04:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0.87,0,3.28,3.0014,3,2011-02-27 00:00:00,27,2,6,2011-02-27 06:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0.87,9,3.28,-0.0016,14,2011-02-27 00:00:00,27,2,6,2011-02-27 07:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0.87,0,4.22,3.998,35,2011-02-27 00:00:00,27,2,6,2011-02-27 08:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0.87,6,5.16,3.998,59,2011-02-27 00:00:00,27,2,6,2011-02-27 09:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,0.81,11,6.1,3.998,103,2011-02-27 00:00:00,27,2,6,2011-02-27 10:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0.62,9,8.92,7.001,125,2011-02-27 00:00:00,27,2,6,2011-02-27 11:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0,0,0.54,6,10.8,11.0006,193,2011-02-27 00:00:00,27,2,6,2011-02-27 12:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,0,0,0.47,0,11.74,11.9972,259,2011-02-27 00:00:00,27,2,6,2011-02-27 13:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0,0,0.47,6,12.68,13.0004,282,2011-02-27 00:00:00,27,2,6,2011-02-27 14:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0,0,0.44,9,13.62,13.997,261,2011-02-27 00:00:00,27,2,6,2011-02-27 15:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,0,0,0.44,11,14.56,15.0002,268,2011-02-27 00:00:00,27,2,6,2011-02-27 16:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0,0,0.54,13,11.74,11.9972,187,2011-02-27 00:00:00,27,2,6,2011-02-27 17:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,0,0.54,13,10.8,11.0006,127,2011-02-27 00:00:00,27,2,6,2011-02-27 18:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0,0,0.54,9,10.8,11.0006,102,2011-02-27 00:00:00,27,2,6,2011-02-27 19:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,0,0,0.54,6,10.8,11.0006,81,2011-02-27 00:00:00,27,2,6,2011-02-27 20:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,0,0,0.62,11,9.86,9.9974,69,2011-02-27 00:00:00,27,2,6,2011-02-27 21:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,0,0,0.62,7,9.86,9.9974,69,2011-02-27 00:00:00,27,2,6,2011-02-27 22:00:00,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,0,0,0.62,11,8.92,7.001,59,2011-02-27 00:00:00,27,2,6,2011-02-27 23:00:00,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0.66,7,8.92,7.9976,30,2011-02-28 00:00:00,28,2,0,2011-02-28 00:00:00,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,1,0.87,24,7.98,3.998,8,2011-02-28 00:00:00,28,2,0,2011-02-28 01:00:00,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,1,0.93,11,7.04,5.0012,1,2011-02-28 00:00:00,28,2,0,2011-02-28 03:00:00,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,1,0.93,0,7.98,7.9976,5,2011-02-28 00:00:00,28,2,0,2011-02-28 05:00:00,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,1,0.96,7,7.98,7.001,28,2011-02-28 00:00:00,28,2,0,2011-02-28 06:00:00,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,1,0.93,7,8.92,7.9976,92,2011-02-28 00:00:00,28,2,0,2011-02-28 07:00:00,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,1,0.93,20,7.98,3.998,255,2011-02-28 00:00:00,28,2,0,2011-02-28 08:00:00,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,1,0.82,19,11.74,11.9972,142,2011-02-28 00:00:00,28,2,0,2011-02-28 09:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,1,0.72,33,16.44,17.0,92,2011-02-28 00:00:00,28,2,0,2011-02-28 10:00:00,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,1,0.64,20,18.32,18.9998,87,2011-02-28 00:00:00,28,2,0,2011-02-28 11:00:00,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0,1,0.64,20,18.32,18.9998,36,2011-02-28 00:00:00,28,2,0,2011-02-28 12:00:00,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,0,1,0.94,15,13.62,13.997,32,2011-02-28 00:00:00,28,2,0,2011-02-28 13:00:00,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0,1,1.0,20,11.74,11.9972,25,2011-02-28 00:00:00,28,2,0,2011-02-28 14:00:00,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0,1,1.0,20,11.74,11.9972,35,2011-02-28 00:00:00,28,2,0,2011-02-28 15:00:00,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,0,1,1.0,9,11.74,11.9972,42,2011-02-28 00:00:00,28,2,0,2011-02-28 16:00:00,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0,1,1.0,20,10.8,11.0006,79,2011-02-28 00:00:00,28,2,0,2011-02-28 17:00:00,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,1,0.94,13,13.62,13.997,131,2011-02-28 00:00:00,28,2,0,2011-02-28 18:00:00,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0,1,0.88,41,12.68,13.0004,80,2011-02-28 00:00:00,28,2,0,2011-02-28 19:00:00,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,0,1,0.88,41,12.68,13.0004,45,2011-02-28 00:00:00,28,2,0,2011-02-28 20:00:00,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,0,1,0.87,26,9.86,9.9974,80,2011-02-28 00:00:00,28,2,0,2011-02-28 21:00:00,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,0,1,0.93,28,7.98,3.998,76,2011-02-28 00:00:00,28,2,0,2011-02-28 22:00:00,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,0,1,0.81,26,7.04,3.0014,45,2011-02-28 00:00:00,28,2,0,2011-02-28 23:00:00,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0.7,31,6.1,1.9982,7,2011-03-01 00:00:00,1,3,1,2011-03-01 00:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,0.7,24,4.22,-0.9982,3,2011-03-01 00:00:00,1,3,1,2011-03-01 01:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0,1,0.65,26,3.28,-2.0014,4,2011-03-01 00:00:00,1,3,1,2011-03-01 02:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,0,1,0.69,19,2.34,-2.0014,2,2011-03-01 00:00:00,1,3,1,2011-03-01 03:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4,0,1,0.69,17,2.34,-2.0014,1,2011-03-01 00:00:00,1,3,1,2011-03-01 04:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,1,0.64,19,1.4,-4.0012,2,2011-03-01 00:00:00,1,3,1,2011-03-01 05:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,1,0.59,20,1.4,-4.0012,46,2011-03-01 00:00:00,1,3,1,2011-03-01 06:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7,0,1,0.59,22,1.4,-4.0012,107,2011-03-01 00:00:00,1,3,1,2011-03-01 07:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8,0,1,0.59,26,1.4,-4.0012,214,2011-03-01 00:00:00,1,3,1,2011-03-01 08:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9,0,1,0.55,28,2.34,-2.998,124,2011-03-01 00:00:00,1,3,1,2011-03-01 09:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10,0,1,0.52,19,3.28,-2.0014,68,2011-03-01 00:00:00,1,3,1,2011-03-01 10:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11,0,1,0.45,17,5.16,1.9982,56,2011-03-01 00:00:00,1,3,1,2011-03-01 11:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12,0,1,0.39,9,6.1,3.998,86,2011-03-01 00:00:00,1,3,1,2011-03-01 12:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
13,0,1,0.39,0,7.04,7.001,78,2011-03-01 00:00:00,1,3,1,2011-03-01 13:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
14,0,1,0.36,9,7.04,5.9978,79,2011-03-01 00:00:00,1,3,1,2011-03-01 14:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
15,0,1,0.34,0,7.98,7.9976,64,2011-03-01 00:00:00,1,3,1,2011-03-01 15:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
16,0,1,0.34,6,7.98,7.001,102,2011-03-01 00:00:00,1,3,1,2011-03-01 16:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
17,0,1,0.34,6,7.98,7.001,242,2011-03-01 00:00:00,1,3,1,2011-03-01 17:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
18,0,1,0.39,13,7.04,5.0012,224,2011-03-01 00:00:00,1,3,1,2011-03-01 18:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
19,0,1,0.49,9,6.1,3.998,119,2011-03-01 00:00:00,1,3,1,2011-03-01 19:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
